onset	duration	weight	object	emotion
704.004	2	1	abacus	aversive
608.01	2	1	babyplayard	neutral
369.004	2	1	banana	aversive
505.004	2	1	bed	aversive
576.012	2	1	bench	aversive
410.005	2	1	bike	neutral
218.001	2	1	binoculars	aversive
94.999	2	1	boppypillow	aversive
441.008	2	1	bowl	neutral
168.014	2	1	bowlingpin	aversive
281.002	2	1	bowtie	aversive
712.012	2	1	bucket	neutral
202.002	2	1	butterfly	neutral
10.014	2	1	button	aversive
359.007	2	1	ceilingfan	neutral
210.009	2	1	cherry	neutral
559.002	2	1	clownfish	aversive
388.004	2	1	coconut	neutral
538.013	2	1	compass	neutral
597.002	2	1	computermouse	neutral
31.003	2	1	cookingpan	aversive
260.012	2	1	cookpot	neutral
84.007	2	1	crab	aversive
682.998	2	1	crown	neutral
22.001	2	1	cupsaucer	aversive
148.998	2	1	dolphin	aversive
127.014	2	1	dragonfly	neutral
226.008	2	1	durian	aversive
40.006	2	1	fan	neutral
300.001	2	1	flashlight	neutral
290.004	2	1	fork	neutral
249.004	2	1	gecko	aversive
185.008	2	1	glasses	neutral
324.008	2	1	glove	aversive
453.011	2	1	grape	neutral
72.004	2	1	guitar	aversive
474	2	1	hairbrush	neutral
620.014	2	1	hairdryer	aversive
399.013	2	1	handmirror	neutral
641.003	2	1	hat	aversive
629	2	1	headband	aversive
422.008	2	1	hourglass	aversive
52.009	2	1	icecreamcones	neutral
61.012	2	1	kettle	neutral
568.005	2	1	kiwifruit	aversive
192.999	2	1	lamp	neutral
379.001	2	1	lemon	aversive
177	2	1	lightbulb	aversive
494.012	2	1	lock	aversive
464.003	2	1	loster	aversive
429.999	2	1	motorcycle	neutral
349.01	2	1	nailpolish	aversive
341.002	2	1	necktie	neutral
271.004	2	1	orifan	neutral
660.003	2	1	paintbrush	neutral
515.001	2	1	pen	neutral
316	2	1	pipe	aversive
527.004	2	1	printer	aversive
158	2	1	rollingpin	neutral
0	2	1	rubberduck	aversive
137.011	2	1	scale	neutral
483.998	2	1	shirt	aversive
695.002	2	1	shoe	neutral
238.012	2	1	sofa	neutral
546.999	2	1	stapler	aversive
117	2	1	starfish	aversive
333.011	2	1	strawberry	neutral
672.006	2	1	tent	neutral
105.013	2	1	tire	aversive
587.004	2	1	washer	neutral
651	2	1	watergun	aversive
308.009	2	1	watermelon	neutral
