onset	duration	weight	object	emotion
286.009	2	1	abacus	neutral
327.009	2	1	babyplayard	aversive
294	2	1	banana	neutral
383.014	2	1	bed	neutral
608.01	2	1	bench	aversive
421.013	2	1	bike	aversive
196	2	1	binoculars	neutral
91.998	2	1	boppypillow	neutral
403.008	2	1	bowl	aversive
552.006	2	1	bowlingpin	neutral
374.011	2	1	bowtie	neutral
710.006	2	1	bucket	neutral
698.002	2	1	butterfly	aversive
50.003	2	1	button	aversive
150.009	2	1	ceilingfan	aversive
131.009	2	1	cherry	neutral
395	2	1	clownfish	neutral
161.001	2	1	coconut	aversive
355.011	2	1	compass	neutral
274.005	2	1	computermouse	neutral
502.003	2	1	cookingpan	neutral
173.005	2	1	cookpot	neutral
12.004	2	1	crab	aversive
245.008	2	1	crown	aversive
540.997	2	1	cupsaucer	neutral
344.997	2	1	dolphin	neutral
640.008	2	1	dragonfly	neutral
460.008	2	1	durian	neutral
628.005	2	1	fan	aversive
571.005	2	1	flashlight	neutral
110.004	2	1	fork	aversive
666.004	2	1	gecko	aversive
620.014	2	1	glasses	aversive
215	2	1	glove	neutral
599.008	2	1	grape	neutral
657.002	2	1	guitar	neutral
510.01	2	1	hairbrush	aversive
235.011	2	1	hairdryer	aversive
589.01	2	1	handmirror	aversive
470.005	2	1	hat	aversive
490.016	2	1	headband	neutral
480.002	2	1	hourglass	aversive
28.003	2	1	icecreamcones	neutral
675.007	2	1	kettle	neutral
62.007	2	1	kiwifruit	neutral
562.998	2	1	lamp	aversive
204.008	2	1	lemon	neutral
72.999	2	1	lightbulb	neutral
140.012	2	1	lock	aversive
521.002	2	1	loster	neutral
685.999	2	1	motorcycle	neutral
647.999	2	1	nailpolish	aversive
315.006	2	1	necktie	aversive
364.014	2	1	orifan	aversive
0	2	1	paintbrush	neutral
413.005	2	1	pen	aversive
450.01	2	1	pipe	aversive
120.017	2	1	printer	aversive
336.011	2	1	rollingpin	neutral
38	2	1	rubberduck	aversive
81.006	2	1	scale	aversive
429.999	2	1	shirt	aversive
532.011	2	1	shoe	aversive
226.008	2	1	sofa	neutral
442.002	2	1	stapler	aversive
265.997	2	1	starfish	aversive
184.013	2	1	strawberry	aversive
20.012	2	1	tent	aversive
303.997	2	1	tire	neutral
101.001	2	1	washer	aversive
581.003	2	1	watergun	neutral
256	2	1	watermelon	neutral
