onset	duration	weight	type	object	emotion
846.187	2	1	voice	abacus	neutral
858.21	2	1	voice	babyplayard	aversive
123.197	2	1	voice	banana	aversive
732.228	2	1	voice	bed	neutral
820.19	2	1	voice	bench	aversive
84.193	2	1	voice	bike	neutral
900.231	2	1	voice	binoculars	neutral
309.16	2	1	voice	boppypillow	neutral
405.209	2	1	voice	bowl	neutral
264.203	2	1	voice	bowlingpin	aversive
179.193	2	1	voice	bowtie	aversive
805.199	2	1	voice	bucket	neutral
463.206	2	1	voice	butterfly	neutral
871.216	2	1	voice	button	neutral
56.212	2	1	voice	ceilingfan	neutral
631.209	2	1	voice	cherry	neutral
659.19	2	1	voice	clownfish	neutral
790.191	2	1	voice	coconut	aversive
615.234	2	1	voice	compass	neutral
44.206	2	1	voice	computermouse	neutral
208.207	2	1	voice	cookingpan	aversive
573.196	2	1	voice	cookpot	neutral
532.208	2	1	voice	crab	neutral
928.196	2	1	voice	crown	aversive
969.2	2	1	voice	cupsaucer	neutral
379.212	2	1	voice	dolphin	aversive
689.139	2	1	voice	dragonfly	aversive
296.203	2	1	voice	durian	aversive
505.211	2	1	voice	fan	aversive
887.208	2	1	voice	flashlight	aversive
761.193	2	1	voice	fork	neutral
995.197	2	1	voice	gecko	aversive
703.196	2	1	voice	glasses	aversive
601.21	2	1	voice	glove	aversive
774.2	2	1	voice	grape	neutral
517.2	2	1	voice	guitar	aversive
436.208	2	1	voice	hairbrush	neutral
194.2	2	1	voice	hairdryer	neutral
322.2	2	1	voice	handmirror	neutral
448.215	2	1	voice	hat	aversive
167.22	2	1	voice	headband	neutral
238.206	2	1	voice	hourglass	neutral
349.214	2	1	voice	icecreamcones	aversive
334.189	2	1	voice	kettle	aversive
420.2	2	1	voice	kiwifruit	aversive
137.204	2	1	voice	lamp	neutral
914.222	2	1	voice	lemon	aversive
365.222	2	1	voice	lightbulb	neutral
719.188	2	1	voice	lock	neutral
280.195	2	1	voice	loster	neutral
478.197	2	1	voice	motorcycle	aversive
98.201	2	1	voice	nailpolish	aversive
940.219	2	1	voice	necktie	neutral
548.216	2	1	voice	orifan	aversive
28.265	2	1	voice	paintbrush	aversive
586.219	2	1	voice	pen	aversive
252.214	2	1	voice	pipe	aversive
111.207	2	1	voice	printer	neutral
673.214	2	1	voice	rollingpin	neutral
2.319	2	1	voice	rubberduck	neutral
561.206	2	1	voice	scale	neutral
953.192	2	1	voice	shirt	aversive
981.206	2	1	voice	shoe	aversive
70.236	2	1	voice	sofa	aversive
832.213	2	1	voice	stapler	neutral
493.205	2	1	voice	starfish	neutral
745.201	2	1	voice	strawberry	aversive
224.199	2	1	voice	tent	aversive
646.217	2	1	voice	tire	aversive
16.192	2	1	voice	washer	neutral
392.202	2	1	voice	watergun	aversive
152.212	2	1	voice	watermelon	aversive
844.002	2	1	face	abacus	neutral
856.009	2	1	face	babyplayard	aversive
120.996	2	1	face	banana	aversive
729.993	2	1	face	bed	neutral
818.006	2	1	face	bench	aversive
82.009	2	1	face	bike	neutral
897.997	2	1	face	binoculars	neutral
307.008	2	1	face	boppypillow	neutral
403.008	2	1	face	bowl	neutral
262.002	2	1	face	bowlingpin	aversive
177.008	2	1	face	bowtie	aversive
802.998	2	1	face	bucket	neutral
461.005	2	1	face	butterfly	neutral
868.999	2	1	face	button	neutral
53.995	2	1	face	ceilingfan	neutral
629.008	2	1	face	cherry	neutral
657.006	2	1	face	clownfish	neutral
788.007	2	1	face	coconut	aversive
613	2	1	face	compass	neutral
42.005	2	1	face	computermouse	neutral
206.006	2	1	face	cookingpan	aversive
570.995	2	1	face	cookpot	neutral
530.007	2	1	face	crab	neutral
925.995	2	1	face	crown	aversive
966.999	2	1	face	cupsaucer	neutral
376.995	2	1	face	dolphin	aversive
687.005	2	1	face	dragonfly	aversive
294.002	2	1	face	durian	aversive
503.01	2	1	face	fan	aversive
885.007	2	1	face	flashlight	aversive
759.008	2	1	face	fork	neutral
992.996	2	1	face	gecko	aversive
700.995	2	1	face	glasses	aversive
599.009	2	1	face	glove	aversive
771.999	2	1	face	grape	neutral
514.999	2	1	face	guitar	aversive
434.007	2	1	face	hairbrush	neutral
191.999	2	1	face	hairdryer	neutral
319.999	2	1	face	handmirror	neutral
445.997	2	1	face	hat	aversive
165.002	2	1	face	headband	neutral
236.005	2	1	face	hourglass	neutral
346.996	2	1	face	icecreamcones	aversive
332.005	2	1	face	kettle	aversive
417.999	2	1	face	kiwifruit	aversive
135.003	2	1	face	lamp	neutral
912.004	2	1	face	lemon	aversive
363.004	2	1	face	lightbulb	neutral
717.003	2	1	face	lock	neutral
278.01	2	1	face	loster	neutral
475.996	2	1	face	motorcycle	aversive
96	2	1	face	nailpolish	aversive
938.001	2	1	face	necktie	neutral
545.999	2	1	face	orifan	aversive
25.997	2	1	face	paintbrush	aversive
584.001	2	1	face	pen	aversive
249.996	2	1	face	pipe	aversive
109.006	2	1	face	printer	neutral
670.996	2	1	face	rollingpin	neutral
0	2	1	face	rubberduck	neutral
559.005	2	1	face	scale	neutral
951.008	2	1	face	shirt	aversive
979.005	2	1	face	shoe	aversive
68.002	2	1	face	sofa	aversive
829.995	2	1	face	stapler	neutral
491.003	2	1	face	starfish	neutral
743	2	1	face	strawberry	aversive
221.998	2	1	face	tent	aversive
643.999	2	1	face	tire	aversive
14.007	2	1	face	washer	neutral
390.001	2	1	face	watergun	aversive
150.011	2	1	face	watermelon	aversive
